Zeit (s) Device Check Sample Series;Spannung, Ch A (V) Device Check Sample Series;Spannung, Ch B (V) Device Check Sample Series;Zeit (s) A Natural Frequency Phsi 20;Spannung, Ch A (V) A Natural Frequency Phsi 20;Spannung, Ch B (V) A Natural Frequency Phsi 20;Zeit (s) A Natural Frequency Phsi 18;Spannung, Ch A (V) A Natural Frequency Phsi 18;Spannung, Ch B (V) A Natural Frequency Phsi 18;Zeit (s) A Natural Frequency Phsi 16;Spannung, Ch A (V) A Natural Frequency Phsi 16;Spannung, Ch B (V) A Natural Frequency Phsi 16;Zeit (s) A Natural Frequency Phsi 14;Spannung, Ch A (V) A Natural Frequency Phsi 14;Spannung, Ch B (V) A Natural Frequency Phsi 14;Zeit (s) A Natural Frequency Phsi 12;Spannung, Ch A (V) A Natural Frequency Phsi 12;Spannung, Ch B (V) A Natural Frequency Phsi 12;Zeit (s) A Natural Frequency Phsi 10;Spannung, Ch A (V) A Natural Frequency Phsi 10;Spannung, Ch B (V) A Natural Frequency Phsi 10;Zeit (s) A Natural Frequency Phsi 8;Spannung, Ch A (V) A Natural Frequency Phsi 8;Spannung, Ch B (V) A Natural Frequency Phsi 8;Zeit (s) A Natural Frequency Phsi 6;Spannung, Ch A (V) A Natural Frequency Phsi 6;Spannung, Ch B (V) A Natural Frequency Phsi 6;Zeit (s) A Natural Frequency Phsi 4;Spannung, Ch A (V) A Natural Frequency Phsi 4;Spannung, Ch B (V) A Natural Frequency Phsi 4;Zeit (s) A Natural Frequency Phsi 2;Spannung, Ch A (V) A Natural Frequency Phsi 2;Spannung, Ch B (V) A Natural Frequency Phsi 2;Zeit (s) B Damping Coefficent I 200;Spannung, Ch A (V) B Damping Coefficent I 200;Spannung, Ch B (V) B Damping Coefficent I 200;Zeit (s) B Damping Coefficent I 300;Spannung, Ch A (V) B Damping Coefficent I 300;Spannung, Ch B (V) B Damping Coefficent I 300;Zeit (s) B Damping Coefficent I 400;Spannung, Ch A (V) B Damping Coefficent I 400;Spannung, Ch B (V) B Damping Coefficent I 400;Zeit (s) B Damping Coefficent I 500;Spannung, Ch A (V) B Damping Coefficent I 500;Spannung, Ch B (V) B Damping Coefficent I 500;Zeit (s) C Default Amplitude;Spannung, Ch A (V) C Default Amplitude;Spannung, Ch B (V) C Default Amplitude;Zeit (s) C Ressonance I 200 v 43;Spannung, Ch A (V) C Ressonance I 200 v 43;Spannung, Ch B (V) C Ressonance I 200 v 43;Zeit (s) C Ressonance I 200 v 86;Spannung, Ch A (V) C Ressonance I 200 v 86;Spannung, Ch B (V) C Ressonance I 200 v 86;Zeit (s) C Ressonance I 200 v 129;Spannung, Ch A (V) C Ressonance I 200 v 129;Spannung, Ch B (V) C Ressonance I 200 v 129;Zeit (s) C Ressonance I 200 v 174;Spannung, Ch A (V) C Ressonance I 200 v 174;Spannung, Ch B (V) C Ressonance I 200 v 174;Zeit (s) C Ressonance I 200 v 193;Spannung, Ch A (V) C Ressonance I 200 v 193;Spannung, Ch B (V) C Ressonance I 200 v 193;Zeit (s) C Ressonance I 200 v 198;Spannung, Ch A (V) C Ressonance I 200 v 198;Spannung, Ch B (V) C Ressonance I 200 v 198;Zeit (s) C Ressonance I 200 v 202;Spannung, Ch A (V) C Ressonance I 200 v 202;Spannung, Ch B (V) C Ressonance I 200 v 202;Zeit (s) C Ressonance I 200 v 206;Spannung, Ch A (V) C Ressonance I 200 v 206;Spannung, Ch B (V) C Ressonance I 200 v 206;Zeit (s) C Ressonance I 200 v 211;Spannung, Ch A (V) C Ressonance I 200 v 211;Spannung, Ch B (V) C Ressonance I 200 v 211;Zeit (s) C Ressonance I 200 v 215;Spannung, Ch A (V) C Ressonance I 200 v 215;Spannung, Ch B (V) C Ressonance I 200 v 215;Zeit (s) C Ressonance I 200 v 219;Spannung, Ch A (V) C Ressonance I 200 v 219;Spannung, Ch B (V) C Ressonance I 200 v 219;Zeit (s) C Ressonance I 200 v 223;Spannung, Ch A (V) C Ressonance I 200 v 223;Spannung, Ch B (V) C Ressonance I 200 v 223;Zeit (s) C Ressonance I 200 v 227;Spannung, Ch A (V) C Ressonance I 200 v 227;Spannung, Ch B (V) C Ressonance I 200 v 227;Zeit (s) C Ressonance I 200 v 232;Spannung, Ch A (V) C Ressonance I 200 v 232;Spannung, Ch B (V) C Ressonance I 200 v 232;Zeit (s) C Ressonance I 200 v 236;Spannung, Ch A (V) C Ressonance I 200 v 236;Spannung, Ch B (V) C Ressonance I 200 v 236;Zeit (s) C Ressonance I 200 v 258;Spannung, Ch A (V) C Ressonance I 200 v 258;Spannung, Ch B (V) C Ressonance I 200 v 258;Zeit (s) C Ressonance I 200 v 301;Spannung, Ch A (V) C Ressonance I 200 v 301;Spannung, Ch B (V) C Ressonance I 200 v 301;Zeit (s) C Ressonance I 200 v 344;Spannung, Ch A (V) C Ressonance I 200 v 344;Spannung, Ch B (V) C Ressonance I 200 v 344;Zeit (s) C Ressonance I 400 v 44;Spannung, Ch A (V) C Ressonance I 400 v 44;Spannung, Ch B (V) C Ressonance I 400 v 44;Zeit (s) C Ressonance I 200 v 86;Spannung, Ch A (V) C Ressonance I 200 v 86;Spannung, Ch B (V) C Ressonance I 200 v 86;Zeit (s) C Ressonance I 200 v 133;Spannung, Ch A (V) C Ressonance I 200 v 133;Spannung, Ch B (V) C Ressonance I 200 v 133;Zeit (s) C Ressonance I 200 v 173;Spannung, Ch A (V) C Ressonance I 200 v 173;Spannung, Ch B (V) C Ressonance I 200 v 173;Zeit (s) C Ressonance I 200 v 194;Spannung, Ch A (V) C Ressonance I 200 v 194;Spannung, Ch B (V) C Ressonance I 200 v 194;Zeit (s) C Ressonance I 200 v 198;Spannung, Ch A (V) C Ressonance I 200 v 198;Spannung, Ch B (V) C Ressonance I 200 v 198;Zeit (s) C Ressonance I 200 v 202;Spannung, Ch A (V) C Ressonance I 200 v 202;Spannung, Ch B (V) C Ressonance I 200 v 202;Zeit (s) C Ressonance I 200 v 206;Spannung, Ch A (V) C Ressonance I 200 v 206;Spannung, Ch B (V) C Ressonance I 200 v 206;Zeit (s) C Ressonance I 200 v 211;Spannung, Ch A (V) C Ressonance I 200 v 211;Spannung, Ch B (V) C Ressonance I 200 v 211;Zeit (s) C Ressonance I 200 v 215;Spannung, Ch A (V) C Ressonance I 200 v 215;Spannung, Ch B (V) C Ressonance I 200 v 215;Zeit (s) C Ressonance I 200 v 219;Spannung, Ch A (V) C Ressonance I 200 v 219;Spannung, Ch B (V) C Ressonance I 200 v 219;Zeit (s) C Ressonance I 200 v 223;Spannung, Ch A (V) C Ressonance I 200 v 223;Spannung, Ch B (V) C Ressonance I 200 v 223;Zeit (s) C Ressonance I 200 v 227;Spannung, Ch A (V) C Ressonance I 200 v 227;Spannung, Ch B (V) C Ressonance I 200 v 227;Zeit (s) C Ressonance I 200 v 231;Spannung, Ch A (V) C Ressonance I 200 v 231;Spannung, Ch B (V) C Ressonance I 200 v 231;Zeit (s) C Ressonance I 200 v 236;Spannung, Ch A (V) C Ressonance I 200 v 236;Spannung, Ch B (V) C Ressonance I 200 v 236;Zeit (s) C Ressonance I 200 v 258;Spannung, Ch A (V) C Ressonance I 200 v 258;Spannung, Ch B (V) C Ressonance I 200 v 258;Zeit (s) C Ressonance I 200 v 302;Spannung, Ch A (V) C Ressonance I 200 v 302;Spannung, Ch B (V) C Ressonance I 200 v 302;Zeit (s) C Ressonance I 200 v 344;Spannung, Ch A (V) C Ressonance I 200 v 344;Spannung, Ch B (V) C Ressonance I 200 v 344
0,000;-0,701;-0,556;0,000;-0,709;-3,473;0,000;-0,702;1,383;0,000;-0,703;1,213;0,000;-0,702;1,339;0,000;-0,704;1,139;0,000;-0,703;1,153;0,000;-0,703;1,085;2,220E-16;-0,704;0,621;0,000;-0,705;0,510;2,220E-16;-0,705;0,215;0,000;-0,709;0,456;0,000;-0,710;0,264;0,000;-0,711;0,234;1,110E-16;-0,710;0,353;0,000;-0,841;0,077;0,000;-0,848;0,096;0,000;-0,783;6,531E-5;0,000;-0,702;-0,074;0,000;-0,850;0,234;0,000;-0,693;-0,341;0,000;-0,846;0,473;0,000;-0,788;0,594;0,000;-0,724;-0,962;0,000;-0,843;1,956;0,000;-0,845;0,301;0,000;-0,788;0,400;0,000;-0,822;-0,490;0,000;-0,703;0,255;0,000;-0,821;-0,248;0,000;-0,720;0,123;0,000;-0,707;0,194;0,000;-0,716;0,102;0,000;-0,841;-0,002;0,000;-0,692;-0,021;0,000;-0,689;-0,054;0,000;-0,748;0,067;0,000;-0,745;0,092;0,000;-0,837;0,153;0,000;-0,848;0,283;0,000;-0,839;0,555;0,000;-0,844;0,165;0,000;-0,762;-0,658;0,000;-0,818;0,474;0,000;-0,845;-0,361;0,000;-0,846;-0,317;0,000;-0,801;-0,278;0,000;-0,701;0,357;0,000;-0,690;0,255;0,000;-0,718;0,080;0,000;-0,699;0,092;0,000;-0,849;-0,012
0,050;-0,701;-0,752;0,050;-0,708;-3,472;0,050;-0,701;1,825;0,050;-0,702;1,603;0,050;-0,703;1,638;0,050;-0,702;1,402;0,050;-0,703;1,343;0,050;-0,703;1,188;0,050;-0,703;0,742;0,050;-0,704;0,568;0,050;-0,704;0,241;0,050;-0,708;0,778;0,050;-0,709;0,587;0,050;-0,709;0,547;0,050;-0,708;0,644;0,050;-0,839;0,077;0,050;-0,847;0,097;0,050;-0,789;0,014;0,050;-0,706;-0,072;0,050;-0,847;0,246;0,050;-0,696;-0,345;0,050;-0,847;0,533;0,050;-0,777;0,497;0,050;-0,733;-0,897;0,050;-0,835;2,127;0,050;-0,838;0,744;0,050;-0,772;0,552;0,050;-0,834;-0,524;0,050;-0,711;0,184;0,050;-0,830;-0,276;0,050;-0,731;0,070;0,050;-0,700;0,203;0,050;-0,702;0,113;0,050;-0,849;-0,016;0,050;-0,689;-0,019;0,050;-0,693;-0,062;0,050;-0,741;0,055;0,050;-0,736;0,063;0,050;-0,840;0,207;0,050;-0,847;0,341;0,050;-0,828;0,574;0,050;-0,849;0,256;0,050;-0,774;-0,656;0,050;-0,804;0,563;0,050;-0,848;-0,295;0,050;-0,849;-0,275;0,050;-0,811;-0,290;0,050;-0,695;0,341;0,050;-0,692;0,216;0,050;-0,730;0,050;0,050;-0,708;0,083;0,050;-0,847;-0,009
0,100;-0,701;-0,929;0,100;-0,709;-3,479;0,100;-0,701;2,229;0,100;-0,702;1,950;0,100;-0,702;1,898;0,100;-0,703;1,613;0,100;-0,702;1,488;0,100;-0,703;1,262;0,100;-0,704;0,839;0,100;-0,704;0,604;0,100;-0,705;0,266;0,100;-0,708;1,060;0,100;-0,709;0,887;0,100;-0,710;0,841;0,100;-0,709;0,906;0,100;-0,842;0,081;0,100;-0,847;0,096;0,100;-0,793;0,021;0,100;-0,713;-0,069;0,100;-0,848;0,247;0,100;-0,702;-0,343;0,100;-0,849;0,573;0,100;-0,764;0,387;0,100;-0,748;-0,804;0,100;-0,828;2,241;0,100;-0,831;1,152;0,100;-0,761;0,678;0,100;-0,839;-0,531;0,100;-0,724;0,106;0,100;-0,840;-0,288;0,100;-0,748;0,005;0,100;-0,693;0,205;0,100;-0,697;0,113;0,100;-0,848;-0,013;0,100;-0,691;-0,021;0,100;-0,690;-0,060;0,100;-0,733;0,043;0,100;-0,725;0,031;0,100;-0,846;0,248;0,100;-0,849;0,390;0,100;-0,821;0,577;0,100;-0,846;0,353;0,100;-0,788;-0,632;0,100;-0,793;0,626;0,100;-0,850;-0,219;0,100;-0,849;-0,213;0,100;-0,825;-0,302;0,100;-0,692;0,316;0,100;-0,694;0,182;0,100;-0,748;0,012;0,100;-0,725;0,063;0,100;-0,848;-0,008
0,150;-0,702;-1,079;0,150;-0,708;-3,474;0,150;-0,701;2,581;0,150;-0,701;2,254;0,150;-0,703;2,112;0,150;-0,702;1,786;0,150;-0,703;1,591;0,150;-0,702;1,300;0,150;-0,703;0,916;0,150;-0,704;0,626;0,150;-0,704;0,277;0,150;-0,707;1,323;0,150;-0,708;1,151;0,150;-0,708;1,100;0,150;-0,708;1,131;0,150;-0,841;0,080;0,150;-0,845;0,098;0,150;-0,799;0,028;0,150;-0,718;-0,068;0,150;-0,843;0,255;0,150;-0,709;-0,323;0,150;-0,847;0,606;0,150;-0,752;0,267;0,150;-0,758;-0,691;0,150;-0,816;2,299;0,150;-0,819;1,537;0,150;-0,745;0,796;0,150;-0,847;-0,529;0,150;-0,736;0,022;0,150;-0,844;-0,289;0,150;-0,760;-0,043;0,150;-0,691;0,200;0,150;-0,690;0,125;0,150;-0,845;-0,006;0,150;-0,689;-0,018;0,150;-0,694;-0,062;0,150;-0,726;0,028;0,150;-0,717;5,865E-4;0,150;-0,847;0,285;0,150;-0,846;0,429;0,150;-0,808;0,584;0,150;-0,849;0,441;0,150;-0,800;-0,589;0,150;-0,777;0,680;0,150;-0,848;-0,143;0,150;-0,849;-0,155;0,150;-0,832;-0,301;0,150;-0,690;0,284;0,150;-0,702;0,136;0,150;-0,762;-0,013;0,150;-0,740;0,045;0,150;-0,834;0,012
0,200;-0,702;-1,198;0,200;-0,709;-3,473;0,200;-0,700;2,851;0,200;-0,702;2,493;0,200;-0,701;2,270;0,200;-0,703;1,910;0,200;-0,702;1,655;0,200;-0,703;1,307;0,200;-0,704;0,951;0,200;-0,704;0,632;0,200;-0,705;0,278;0,200;-0,708;1,541;0,200;-0,708;1,391;0,200;-0,709;1,332;0,200;-0,709;1,332;0,200;-0,843;0,081;0,200;-0,845;0,097;0,200;-0,803;0,044;0,200;-0,726;-0,063;0,200;-0,840;0,264;0,200;-0,718;-0,300;0,200;-0,848;0,621;0,200;-0,739;0,149;0,200;-0,773;-0,563;0,200;-0,806;2,292;0,200;-0,809;1,867;0,200;-0,734;0,885;0,200;-0,847;-0,489;0,200;-0,752;-0,057;0,200;-0,849;-0,284;0,200;-0,778;-0,091;0,200;-0,690;0,188;0,200;-0,692;0,115;0,200;-0,833;0,012;0,200;-0,692;-0,021;0,200;-0,693;-0,059;0,200;-0,718;0,016;0,200;-0,709;-0,018;0,200;-0,849;0,324;0,200;-0,843;0,454;0,200;-0,800;0,562;0,200;-0,844;0,523;0,200;-0,812;-0,531;0,200;-0,766;0,711;0,200;-0,848;-0,062;0,200;-0,847;-0,090;0,200;-0,842;-0,293;0,200;-0,692;0,244;0,200;-0,711;0,088;0,200;-0,780;-0,037;0,200;-0,762;0,024;0,200;-0,822;0,024
0,250;-0,703;-1,286;0,250;-0,708;-3,473;0,250;-0,700;3,044;0,250;-0,701;2,663;0,250;-0,702;2,358;0,250;-0,702;1,985;0,250;-0,703;1,673;0,250;-0,703;1,275;0,250;-0,703;0,982;0,250;-0,704;0,626;0,250;-0,704;0,289;0,250;-0,707;1,720;0,250;-0,708;1,580;0,250;-0,707;1,518;0,250;-0,707;1,485;0,250;-0,842;0,086;0,250;-0,843;0,098;0,250;-0,808;0,047;0,250;-0,733;-0,061;0,250;-0,832;0,257;0,250;-0,729;-0,272;0,250;-0,841;0,634;0,250;-0,728;0,020;0,250;-0,783;-0,409;0,250;-0,792;2,221;0,250;-0,795;2,170;0,250;-0,720;0,942;0,250;-0,851;-0,449;0,250;-0,765;-0,125;0,250;-0,848;-0,256;0,250;-0,790;-0,134;0,250;-0,693;0,166;0,250;-0,692;0,107;0,250;-0,818;0,023;0,250;-0,690;-0,019;0,250;-0,698;-0,059;0,250;-0,713;8,331E-4;0,250;-0,703;-0,048;0,250;-0,846;0,358;0,250;-0,835;0,484;0,250;-0,784;0,529;0,250;-0,841;0,585;0,250;-0,822;-0,448;0,250;-0,750;0,731;0,250;-0,841;0,032;0,250;-0,840;-0,018;0,250;-0,844;-0,269;0,250;-0,693;0,199;0,250;-0,724;0,033;0,250;-0,794;-0,063;0,250;-0,778;0,006;0,250;-0,800;0,036
0,300;-0,702;-1,329;0,300;-0,709;-3,475;0,300;-0,700;3,146;0,300;-0,702;2,755;0,300;-0,701;2,390;0,300;-0,703;2,005;0,300;-0,702;1,649;0,300;-0,703;1,198;0,300;-0,704;0,985;0,300;-0,704;0,595;0,300;-0,705;0,277;0,300;-0,707;1,849;0,300;-0,708;1,727;0,300;-0,709;1,657;0,300;-0,709;1,589;0,300;-0,845;0,082;0,300;-0,843;0,098;0,300;-0,813;0,059;0,300;-0,741;-0,042;0,300;-0,827;0,243;0,300;-0,740;-0,227;0,300;-0,837;0,622;0,300;-0,717;-0,099;0,300;-0,799;-0,256;0,300;-0,781;2,085;0,300;-0,782;2,406;0,300;-0,712;0,983;0,300;-0,847;-0,382;0,300;-0,780;-0,190;0,300;-0,850;-0,224;0,300;-0,807;-0,170;0,300;-0,698;0,148;0,300;-0,704;0,090;0,300;-0,797;0,035;0,300;-0,692;-0,021;0,300;-0,698;-0,058;0,300;-0,706;-0,010;0,300;-0,697;-0,069;0,300;-0,847;0,381;0,300;-0,830;0,490;0,300;-0,775;0,482;0,300;-0,831;0,635;0,300;-0,832;-0,359;0,300;-0,740;0,728;0,300;-0,835;0,128;0,300;-0,831;0,067;0,300;-0,850;-0,232;0,300;-0,700;0,147;0,300;-0,737;-0,016;0,300;-0,811;-0,076;0,300;-0,799;-0,011;0,300;-0,782;0,052
0,350;-0,702;-1,338;0,350;-0,708;-3,446;0,350;-0,700;3,140;0,350;-0,701;2,768;0,350;-0,702;2,349;0,350;-0,701;1,966;0,350;-0,703;1,581;0,350;-0,703;1,103;0,350;-0,703;0,949;0,350;-0,704;0,551;0,350;-0,704;0,264;0,350;-0,707;1,931;0,350;-0,708;1,828;0,350;-0,707;1,754;0,350;-0,707;1,656;0,350;-0,843;0,084;0,350;-0,841;0,101;0,350;-0,816;0,066;0,350;-0,749;-0,040;0,350;-0,815;0,225;0,350;-0,752;-0,187;0,350;-0,826;0,598;0,350;-0,710;-0,210;0,350;-0,807;-0,102;0,350;-0,766;1,894;0,350;-0,767;2,579;0,350;-0,701;0,997;0,350;-0,848;-0,314;0,350;-0,793;-0,246;0,350;-0,845;-0,185;0,350;-0,816;-0,196;0,350;-0,709;0,121;0,350;-0,714;0,081;0,350;-0,778;0,051;0,350;-0,690;-0,019;0,350;-0,704;-0,061;0,350;-0,703;-0,020;0,350;-0,695;-0,085;0,350;-0,840;0,400;0,350;-0,818;0,493;0,350;-0,759;0,426;0,350;-0,824;0,666;0,350;-0,838;-0,256;0,350;-0,725;0,706;0,350;-0,824;0,218;0,350;-0,820;0,146;0,350;-0,848;-0,188;0,350;-0,709;0,093;0,350;-0,753;-0,065;0,350;-0,822;-0,086;0,350;-0,813;-0,014;0,350;-0,758;0,066
0,400;-0,702;-1,314;0,400;-0,709;-3,461;0,400;-0,700;3,093;0,400;-0,701;2,722;0,400;-0,701;2,244;0,400;-0,703;1,873;0,400;-0,702;1,478;0,400;-0,704;0,972;0,400;-0,704;0,897;0,400;-0,705;0,490;0,400;-0,705;0,230;0,400;-0,707;1,954;0,400;-0,708;1,879;0,400;-0,708;1,802;0,400;-0,709;1,674;0,400;-0,846;0,081;0,400;-0,840;0,103;0,400;-0,821;0,074;0,400;-0,757;-0,028;0,400;-0,808;0,206;0,400;-0,764;-0,144;0,400;-0,818;0,560;0,400;-0,701;-0,318;0,400;-0,820;0,066;0,400;-0,755;1,667;0,400;-0,755;2,679;0,400;-0,698;0,985;0,400;-0,839;-0,227;0,400;-0,808;-0,299;0,400;-0,840;-0,146;0,400;-0,830;-0,219;0,400;-0,720;0,092;0,400;-0,733;0,060;0,400;-0,754;0,064;0,400;-0,693;-0,021;0,400;-0,705;-0,060;0,400;-0,698;-0,022;0,400;-0,691;-0,102;0,400;-0,836;0,411;0,400;-0,810;0,478;0,400;-0,749;0,358;0,400;-0,811;0,687;0,400;-0,844;-0,153;0,400;-0,717;0,657;0,400;-0,813;0,297;0,400;-0,809;0,218;0,400;-0,850;-0,149;0,400;-0,720;0,029;0,400;-0,766;-0,098;0,400;-0,835;-0,089;0,400;-0,831;-0,022;0,400;-0,740;0,074
0,450;-0,702;-1,247;0,450;-0,708;-3,458;0,450;-0,701;2,932;0,450;-0,701;2,579;0,450;-0,702;2,067;0,450;-0,702;1,735;0,450;-0,703;1,324;0,450;-0,703;0,817;0,450;-0,703;0,816;0,450;-0,704;0,414;0,450;-0,704;0,206;0,450;-0,707;1,931;0,450;-0,708;1,879;0,450;-0,707;1,804;0,450;-0,707;1,656;0,450;-0,844;0,083;0,450;-0,838;0,104;0,450;-0,825;0,079;0,450;-0,764;-0,023;0,450;-0,796;0,195;0,450;-0,776;-0,092;0,450;-0,806;0,509;0,450;-0,697;-0,420;0,450;-0,827;0,242;0,450;-0,741;1,410;0,450;-0,740;2,710;0,450;-0,691;0,940;0,450;-0,833;-0,143;0,450;-0,818;-0,336;0,450;-0,829;-0,092;0,450;-0,836;-0,229;0,450;-0,737;0,059;0,450;-0,748;0,042;0,450;-0,736;0,073;0,450;-0,690;-0,018;0,450;-0,712;-0,063;0,450;-0,695;-0,035;0,450;-0,691;-0,120;0,450;-0,825;0,421;0,450;-0,796;0,447;0,450;-0,734;0,286;0,450;-0,802;0,692;0,450;-0,846;-0,044;0,450;-0,705;0,603;0,450;-0,800;0,382;0,450;-0,796;0,280;0,450;-0,844;-0,093;0,450;-0,733;-0,028;0,450;-0,783;-0,138;0,450;-0,840;-0,095;0,450;-0,838;-0,022;0,450;-0,718;0,080
